1302,1300,1298,1296,1292,1292iso,1022,1020,1018,1036 5',1034 5' ,1032 5' ,1050 5',1048 5',1046 5'
0.0067,0.0029,0.0029,0.0010,0.0083,0.0011,0.8106,0.0088,0.0060,0.1136,0.0000,0.0000,0.0032,0.0000,0.0000
0.0057,0.0030,0.0040,0.0016,0.0208,0.0027,0.7850,0.0130,0.0082,0.0942,0.0000,0.0000,0.0024,0.0000,0.0000
0.0048,0.0032,0.0050,0.0019,0.0128,0.0035,0.8246,0.0075,0.0074,0.0857,0.0000,0.0000,0.0035,0.0000,0.0000
0.0258,0.0181,0.0204,0.0036,0.0163,0.0021,0.7444,0.0083,0.0049,0.0834,0.0012,0.0000,0.0040,0.0000,0.0000
0.0038,0.0024,0.0030,0.0011,0.0154,0.0011,0.7977,0.0183,0.0056,0.0827,0.0013,0.0000,0.0036,0.0000,0.0000
0.0079,0.0038,0.0073,0.0012,0.0187,0.0017,0.8185,0.0108,0.0055,0.0699,0.0000,0.0000,0.0024,0.0000,0.0000
0.0084,0.0009,0.0009,0.0003,0.0100,0.0009,0.8290,0.0187,0.0056,0.0726,0.0029,0.0000,0.0026,0.0000,0.0000
0.0405,0.0062,0.0128,0.0063,0.0098,0.0042,0.7211,0.0103,0.0087,0.1121,0.0000,0.0000,0.0000,0.0000,0.0000
0.0186,0.0069,0.0098,0.0055,0.0151,0.0062,0.7940,0.0065,0.0039,0.0687,0.0006,0.0000,0.0112,0.0000,0.0000
0.0164,0.0065,0.0111,0.0051,0.0250,0.0069,0.7635,0.0073,0.0026,0.0856,0.0000,0.0079,0.0000,0.0000,0.0000
0.0297,0.0049,0.0168,0.0076,0.0239,0.0073,0.7515,0.0100,0.0054,0.0722,0.0000,0.0000,0.0100,0.0000,0.0000
0.0110,0.0041,0.0066,0.0028,0.0162,0.0056,0.8139,0.0053,0.0045,0.0738,0.0000,0.0000,0.0071,0.0000,0.0000
0.0111,0.0053,0.0020,0.0049,0.0656,0.0028,0.3721,0.1617,0.0481,0.0417,0.0158,0.0008,0.0092,0.0000,0.0000
0.0170,0.0053,0.0056,0.0055,0.0672,0.0136,0.4093,0.1634,0.0574,0.0374,0.0056,0.0013,0.0064,0.0000,0.0000
0.0146,0.0057,0.0044,0.0045,0.0860,0.0128,0.3805,0.1582,0.0497,0.0496,0.0253,0.0017,0.0050,0.0000,0.0000
0.2485,0.0052,0.0071,0.0035,0.0741,0.0034,0.2198,0.1140,0.0242,0.0295,0.0101,0.0011,0.0055,0.0016,0.0000
0.0061,0.0066,0.0049,0.0036,0.0748,0.0097,0.2212,0.1976,0.0408,0.0259,0.0400,0.0039,0.0101,0.0044,0.0009
0.0067,0.0017,0.0020,0.0011,0.0074,0.0018,0.8277,0.0204,0.0044,0.0688,0.0015,0.0000,0.0024,0.0000,0.0000
0.0373,0.0252,0.0212,0.0057,0.0114,0.0017,0.7581,0.0161,0.0031,0.0776,0.0000,0.0000,0.0027,0.0000,0.0000
0.0221,0.0034,0.0031,0.0015,0.0204,0.0045,0.7748,0.0163,0.0036,0.0705,0.0013,0.0000,0.0025,0.0000,0.0000
0.0094,0.0052,0.0047,0.0014,0.0026,0.0017,0.8315,0.0144,0.0026,0.0606,0.0010,0.0000,0.0039,0.0000,0.0000
0.0102,0.0016,0.0013,0.0006,0.0061,0.0018,0.8516,0.0053,0.0012,0.0843,0.0000,0.0000,0.0033,0.0000,0.0000

0.0422,0.0040,0.0056,0.0043,0.0166,0.0067,0.8424,0.0032,0.0021,0.0326,0.0000,0.0000,0.0047,0.0000,0.0000
0.0909,0.0050,0.0043,0.0022,0.0243,0.0043,0.7583,0.0037,0.0050,0.0222,0.0000,0.0000,0.0074,0.0000,0.0000
0.0653,0.0039,0.0042,0.0031,0.0145,0.0038,0.8016,0.0056,0.0042,0.0332,0.0000,0.0000,0.0039,0.0000,0.0000
0.1171,0.0064,0.0063,0.0051,0.0243,0.0080,0.7355,0.0039,0.0041,0.0245,0.0000,0.0000,0.0030,0.0000,0.0000
0.0640,0.0038,0.0041,0.0021,0.0231,0.0079,0.7887,0.0033,0.0037,0.0343,0.0000,0.0000,0.0035,0.0000,0.0000
0.0388,0.0107,0.0084,0.0053,0.0057,0.0037,0.8801,0.0020,0.0045,0.0232,0.0000,0.0000,0.0012,0.0000,0.0000
0.1019,0.0047,0.0056,0.0026,0.0064,0.0011,0.8208,0.0016,0.0024,0.0272,0.0000,0.0000,0.0007,0.0000,0.0000
0.0339,0.0042,0.0040,0.0020,0.0080,0.0023,0.8694,0.0017,0.0016,0.0471,0.0000,0.0000,0.0023,0.0000,0.0000
0.0760,0.0039,0.0024,0.0016,0.0062,0.0029,0.8183,0.0016,0.0016,0.0406,0.0000,0.0000,0.0040,0.0000,0.0000
0.0298,0.0095,0.0074,0.0038,0.0095,0.0028,0.8718,0.0027,0.0022,0.0323,0.0000,0.0000,0.0021,0.0000,0.0000
0.0217,0.0018,0.0016,0.0016,0.0051,0.0015,0.9011,0.0029,0.0028,0.0280,0.0000,0.0000,0.0106,0.0000,0.0000
0.0286,0.0070,0.0029,0.0049,0.0108,0.0079,0.8721,0.0022,0.0040,0.0154,0.0000,0.0000,0.0022,0.0000,0.0000
0.0718,0.0045,0.0049,0.0030,0.0187,0.0036,0.7543,0.0037,0.0035,0.0548,0.0000,0.0000,0.0063,0.0000,0.0000
0.0197,0.0003,0.0010,0.0011,0.0077,0.0041,0.8890,0.0016,0.0025,0.0485,0.0000,0.0000,0.0020,0.0000,0.0000
0.1204,0.0112,0.0128,0.0045,0.0148,0.0036,0.6620,0.0014,0.0000,0.0305,0.0000,0.0000,0.0104,0.0000,0.0000
0.0835,0.0079,0.0098,0.0074,0.0389,0.0077,0.7040,0.0049,0.0043,0.0194,0.0000,0.0000,0.0051,0.0000,0.0000
0.0394,0.0064,0.0036,0.0084,0.0352,0.0109,0.7969,0.0036,0.0043,0.0300,0.0000,0.0000,0.0055,0.0000,0.0000
0.0537,0.0061,0.0140,0.0103,0.0293,0.0111,0.7637,0.0050,0.0050,0.0343,0.0000,0.0000,0.0068,0.0000,0.0000
0.0616,0.0055,0.0027,0.0104,0.0377,0.0080,0.7820,0.0043,0.0047,0.0290,0.0000,0.0000,0.0066,0.0000,0.0000
0.0799,0.0156,0.0241,0.0218,0.0300,0.0205,0.6655,0.0064,0.0076,0.0285,0.0000,0.0000,0.0102,0.0000,0.0000
0.0341,0.0067,0.0095,0.0079,0.0231,0.0065,0.8117,0.0086,0.0065,0.0391,0.0000,0.0000,0.0034,0.0000,0.0000
0.0412,0.0037,0.0059,0.0039,0.0284,0.0079,0.8285,0.0044,0.0038,0.0095,0.0000,0.0000,0.0040,0.0000,0.0000
0.0510,0.0042,0.0061,0.0030,0.0299,0.0065,0.7946,0.0024,0.0025,0.0392,0.0000,0.0000,0.0037,0.0000,0.0000
0.0214,0.0065,0.0084,0.0047,0.0213,0.0069,0.8489,0.0044,0.0039,0.0311,0.0000,0.0000,0.0040,0.0000,0.0000
0.0647,0.0033,0.0050,0.0027,0.0248,0.0081,0.7784,0.0040,0.0039,0.0324,0.0000,0.0000,0.0035,0.0000,0.0000

0.0131,0.0052,0.0072,0.0060,0.0084,0.0063,0.8859,0.0113,0.0156,0.0205,0.0010,0.0000,0.0006,0.0000,0.0000
0.0062,0.0011,0.0016,0.0011,0.0039,0.0043,0.9200,0.0091,0.0169,0.0241,0.0000,0.0000,0.0007,0.0000,0.0000
0.0147,0.0072,0.0071,0.0053,0.0779,0.0138,0.6049,0.1008,0.0380,0.0123,0.0023,0.0000,0.0016,0.0000,0.0000
0.0139,0.0062,0.0088,0.0055,0.0065,0.0024,0.8887,0.0083,0.0090,0.0303,0.0000,0.0000,0.0013,0.0000,0.0000
0.0301,0.0024,0.0034,0.0018,0.0192,0.0012,0.8199,0.0177,0.0082,0.0424,0.0007,0.0000,0.0019,0.0000,0.0000
0.0195,0.0106,0.0151,0.0141,0.0244,0.0084,0.8069,0.0174,0.0140,0.0226,0.0000,0.0000,0.0011,0.0000,0.0000

0.0295,0.0028,0.0033,0.0023,0.0151,0.0054,0.8449,0.0050,0.0038,0.0512,0.0000,0.0000,0.0044,0.0000,0.0000
0.0267,0.0007,0.0005,0.0003,0.0031,0.0009,0.8977,0.0052,0.0044,0.0415,0.0000,0.0000,0.0026,0.0000,0.0000
0.0043,0.0006,0.0015,0.0011,0.0066,0.0003,0.9160,0.0054,0.0039,0.0452,0.0000,0.0000,0.0022,0.0000,0.0000
0.0046,0.0005,0.0005,0.0003,0.0003,0.0000,0.9665,0.0060,0.0057,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000
0.0020,0.0005,0.0005,0.0021,0.0140,0.0007,0.9148,0.0070,0.0054,0.0394,0.0000,0.0000,0.0023,0.0000,0.0000
0.0231,0.0128,0.0022,0.0036,0.0822,0.0056,0.6924,0.0170,0.0270,0.0323,0.0000,0.0000,0.0042,0.0000,0.0000
0.0043,0.0005,0.0007,0.0005,0.0028,0.0002,0.9233,0.0062,0.0044,0.0436,0.0000,0.0000,0.0028,0.0000,0.0000
0.0033,0.0027,0.0005,0.0003,0.0152,0.0004,0.9075,0.0077,0.0045,0.0382,0.0000,0.0000,0.0029,0.0000,0.0000
0.0028,0.0003,0.0003,0.0002,0.0011,0.0001,0.9526,0.0085,0.0047,0.0241,0.0000,0.0000,0.0003,0.0000,0.0000
0.0079,0.0008,0.0040,0.0007,0.0167,0.0034,0.9098,0.0051,0.0040,0.0266,0.0000,0.0000,0.0017,0.0000,0.0000
0.1124,0.0079,0.0122,0.0039,0.0091,0.0034,0.7112,0.0126,0.0042,0.0744,0.0013,0.0004,0.0052,0.0000,0.0000
0.0150,0.0084,0.0100,0.0075,0.0250,0.0130,0.8804,0.0075,0.0049,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000
0.0256,0.0046,0.0036,0.0023,0.0140,0.0059,0.8861,0.0032,0.0035,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000
0.0294,0.0060,0.0743,0.0121,0.2756,0.0093,0.3915,0.0077,0.0018,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000
0.0078,0.0005,0.0053,0.0006,0.0070,0.0097,0.9491,0.0076,0.0028,0.0030,0.0006,0.0000,0.0000,0.0000,0.0000
0.0488,0.0040,0.0056,0.0030,0.0128,0.0027,0.8730,0.0060,0.0062,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000
0.0221,0.0056,0.0074,0.0041,0.0152,0.0124,0.8542,0.0076,0.0046,0.0402,0.0000,0.0000,0.0026,0.0000,0.0000
0.2240,0.0108,0.0108,0.0060,0.0282,0.0036,0.5918,0.0094,0.0049,0.0437,0.0009,0.0002,0.0039,0.0001,0.0000
0.1073,0.0021,0.0071,0.0026,0.0060,0.0006,0.7598,0.0072,0.0033,0.0561,0.0008,0.0000,0.0040,0.0000,0.0000
0.0128,0.0056,0.0066,0.0056,0.0118,0.0079,0.8772,0.0095,0.0054,0.0351,0.0006,0.0000,0.0018,0.0000,0.0000
0.0287,0.0028,0.0028,0.0018,0.0055,0.0028,0.8901,0.0062,0.0013,0.0345,0.0029,0.0000,0.0000,0.0000,0.0000
0.0336,0.0044,0.0089,0.0050,0.0204,0.0185,0.8183,0.0109,0.0060,0.0312,0.0000,0.0000,0.0057,0.0000,0.0000
0.1980,0.0096,0.0117,0.0041,0.0295,0.0020,0.6213,0.0088,0.0031,0.0522,0.0005,0.0000,0.0044,0.0000,0.0000
0.0303,0.0055,0.0059,0.0031,0.0036,0.0009,0.9073,0.0054,0.0036,0.0167,0.0000,0.0000,0.0020,0.0000,0.0000
0.0290,0.0122,0.0016,0.0007,0.0002,0.0001,0.9004,0.0040,0.0054,0.0368,0.0000,0.0000,0.0042,0.0000,0.0000

0.0121,0.0017,0.0016,0.0008,0.0033,0.0000,0.8988,0.0204,0.0050,0.0451,0.0000,0.0000,0.0027,0.0000,0.0000
0.1611,0.0052,0.0056,0.0024,0.0143,0.0006,0.7017,0.0091,0.0034,0.0602,0.0006,0.0003,0.0040,0.0000,0.0000
0.0176,0.0013,0.0014,0.0020,0.0143,0.0005,0.8517,0.0194,0.0075,0.0616,0.0013,0.0000,0.0032,0.0000,0.0000
0.0787,0.0078,0.0265,0.0057,0.0406,0.0022,0.7375,0.0075,0.0037,0.0343,0.0000,0.0000,0.0033,0.0004,0.0000
0.0520,0.0166,0.0232,0.0095,0.0453,0.0040,0.7451,0.0095,0.0066,0.0360,0.0008,0.0004,0.0018,0.0000,0.0000
0.2314,0.0136,0.0170,0.0067,0.0253,0.0010,0.5739,0.0091,0.0057,0.0428,0.0009,0.0003,0.0028,0.0002,0.0000

0.0541,0.0007,0.0006,0.0012,0.0053,0.0008,0.9023,0.0024,0.0015,0.0179,0.0000,0.0000,0.0013,0.0000,0.0000
0.0169,0.0005,0.0004,0.0001,0.0080,0.0005,0.9207,0.0043,0.0031,0.0284,0.0000,0.0000,0.0019,0.0000,0.0000




0.0230,0.0012,0.0023,0.0012,0.0015,0.0003,0.8961,0.0047,0.0030,0.0414,0.0000,0.0000,0.0027,0.0000,0.0000
0.0130,0.0015,0.0010,0.0004,0.0004,0.0002,0.8982,0.0034,0.0025,0.0506,0.0000,0.0000,0.0030,0.0000,0.0000
0.0074,0.0014,0.0015,0.0005,0.0007,0.0001,0.9507,0.0053,0.0051,0.0189,0.0000,0.0000,0.0016,0.0000,0.0000
0.0093,0.0008,0.0009,0.0004,0.0009,0.0001,0.9239,0.0062,0.0027,0.0377,0.0000,0.0000,0.0026,0.0000,0.0000
0.0091,0.0005,0.0004,0.0002,0.0003,0.0001,0.9070,0.0030,0.0009,0.0564,0.0000,0.0000,0.0024,0.0000,0.0000
0.0106,0.0012,0.0027,0.0000,0.0000,0.0000,0.9069,0.0077,0.0000,0.0501,0.0000,0.0000,0.0000,0.0000,0.0000
0.0470,0.0024,0.0018,0.0009,0.0023,0.0010,0.8490,0.0039,0.0014,0.0628,0.0000,0.0000,0.0022,0.0000,0.0000
0.0614,0.0030,0.0023,0.0013,0.0000,0.0000,0.8389,0.0036,0.0000,0.0482,0.0000,0.0000,0.0028,0.0000,0.0000
0.0471,0.0050,0.0041,0.0018,0.0008,0.0003,0.8258,0.0063,0.0000,0.0587,0.0000,0.0000,0.0024,0.0000,0.0000
0.0461,0.0017,0.0018,0.0008,0.0018,0.0005,0.8490,0.0043,0.0000,0.0553,0.0000,0.0000,0.0000,0.0000,0.0000
0.0661,0.0021,0.0023,0.0011,0.0164,0.0028,0.6494,0.0979,0.0280,0.0232,0.0031,0.0000,0.0055,0.0000,0.0000
0.0637,0.0124,0.0190,0.0079,0.0893,0.0102,0.3270,0.1255,0.0268,0.0215,0.0061,0.0000,0.0051,0.0000,0.0000
0.0614,0.0030,0.0051,0.0033,0.0341,0.0036,0.5427,0.1281,0.0330,0.0254,0.0039,0.0000,0.0039,0.0000,0.0000
0.0814,0.0036,0.0033,0.0014,0.0243,0.0017,0.4899,0.1785,0.0454,0.0210,0.0032,0.0000,0.0039,0.0000,0.0000
0.0613,0.0039,0.0025,0.0000,0.0048,0.0014,0.6979,0.1108,0.0245,0.0161,0.0032,0.0000,0.0036,0.0000,0.0000
0.0853,0.0102,0.0151,0.0097,0.0854,0.0074,0.6708,0.0055,0.0019,0.0174,0.0000,0.0000,0.0018,0.0000,0.0000

0.1256,0.0037,0.0058,0.0023,0.0138,0.0029,0.7511,0.0066,0.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000
0.1141,0.0053,0.0043,0.0014,0.0134,0.0020,0.7386,0.0167,0.0043,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000
0.0644,0.0029,0.0029,0.0015,0.0056,0.0009,0.8441,0.0104,0.0015,0.0243,0.0000,0.0000,0.0017,0.0000,0.0000

0.1517,0.0045,0.0071,0.0034,0.0235,0.0028,0.6930,0.0093,0.0066,0.0222,0.0000,0.0000,0.0045,0.0000,0.0000
0.0509,0.0018,0.0053,0.0021,0.0323,0.0031,0.8051,0.0091,0.0055,0.0188,0.0000,0.0000,0.0095,0.0000,0.0000
0.0876,0.0047,0.0080,0.0031,0.0252,0.0038,0.7701,0.0083,0.0000,0.0180,0.0000,0.0000,0.0056,0.0000,0.0000
0.1014,0.0035,0.0052,0.0018,0.0124,0.0017,0.7505,0.0155,0.0015,0.0179,0.0000,0.0000,0.0078,0.0000,0.0000
0.1804,0.0022,0.0036,0.0014,0.0069,0.0012,0.7335,0.0091,0.0030,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000
0.0763,0.0029,0.0038,0.0000,0.0080,0.0014,0.7913,0.0068,0.0000,0.0544,0.0000,0.0000,0.0051,0.0000,0.0000
0.0898,0.0029,0.0049,0.0022,0.0151,0.0019,0.7639,0.0067,0.0000,0.0375,0.0000,0.0000,0.0059,0.0000,0.0000
0.0354,0.0022,0.0028,0.0016,0.0066,0.0011,0.8581,0.0043,0.0000,0.0435,0.0000,0.0000,0.0056,0.0000,0.0000
0.0926,0.0029,0.0031,0.0019,0.0110,0.0021,0.7807,0.0061,0.0000,0.0359,0.0000,0.0000,0.0067,0.0000,0.0000
0.0708,0.0025,0.0013,0.0013,0.0047,0.0005,0.7612,0.0099,0.0015,0.0702,0.0000,0.0000,0.0059,0.0000,0.0000

0.0489,0.0013,0.0006,0.0014,0.0007,0.0002,0.8649,0.0026,0.0010,0.0384,0.0000,0.0000,0.0017,0.0000,0.0000
0.0949,0.0134,0.0108,0.0021,0.0015,0.0000,0.8056,0.0035,0.0022,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000
0.1706,0.0045,0.0036,0.0015,0.0084,0.0009,0.7136,0.0013,0.0000,0.0281,0.0000,0.0000,0.0008,0.0000,0.0000
0.0646,0.0065,0.0073,0.0016,0.0029,0.0004,0.8200,0.0030,0.0000,0.0418,0.0000,0.0000,0.0012,0.0000,0.0000
0.2029,0.0071,0.0043,0.0015,0.0155,0.0018,0.6168,0.0019,0.0000,0.0444,0.0000,0.0000,0.0025,0.0000,0.0000
0.0607,0.0037,0.0032,0.0015,0.0055,0.0020,0.7927,0.0031,0.0013,0.0621,0.0000,0.0000,0.0033,0.0000,0.0000
0.0396,0.0051,0.0051,0.0027,0.0070,0.0017,0.7765,0.0037,0.0000,0.0944,0.0045,0.0000,0.0000,0.0000,0.0000
0.0298,0.0070,0.0084,0.0049,0.0099,0.0022,0.7983,0.0038,0.0000,0.0666,0.0000,0.0000,0.0040,0.0000,0.0000
0.0328,0.0080,0.0090,0.0041,0.0142,0.0020,0.7918,0.0041,0.0019,0.0834,0.0037,0.0000,0.0000,0.0000,0.0000
0.0676,0.0158,0.0098,0.0047,0.0052,0.0015,0.7695,0.0043,0.0020,0.0634,0.0000,0.0000,0.0030,0.0000,0.0000
0.1712,0.0042,0.0029,0.0009,0.0050,0.0011,0.6720,0.0042,0.0013,0.0411,0.0000,0.0000,0.0071,0.0000,0.0000
0.0127,0.0024,0.0051,0.0040,0.0268,0.0101,0.8715,0.0022,0.0012,0.0161,0.0000,0.0000,0.0019,0.0000,0.0000
0.0885,0.0054,0.0090,0.0042,0.0414,0.0102,0.7143,0.0034,0.0016,0.0344,0.0000,0.0000,0.0028,0.0000,0.0000
0.0317,0.0026,0.0036,0.0022,0.0101,0.0025,0.8805,0.0053,0.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000
0.0531,0.0099,0.0127,0.0077,0.0439,0.0118,0.7877,0.0044,0.0028,0.0184,0.0000,0.0000,0.0000,0.0000,0.0000
0.1398,0.0036,0.0028,0.0009,0.0032,0.0003,0.7717,0.0068,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000
0.1236,0.0024,0.0021,0.0013,0.0053,0.0004,0.7824,0.0060,0.0000,0.0206,0.0000,0.0000,0.0020,0.0000,0.0000
0.1795,0.0054,0.0030,0.0016,0.0022,0.0000,0.7180,0.0042,0.0037,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000
0.1665,0.0025,0.0025,0.0019,0.0134,0.0033,0.6875,0.0033,0.0000,0.0317,0.0000,0.0000,0.0069,0.0000,0.0000
0.0156,0.0006,0.0025,0.0017,0.0041,0.0008,0.9138,0.0145,0.0031,0.0218,0.0000,0.0000,0.0022,0.0000,0.0000
0.1736,0.0126,0.0174,0.0119,0.0115,0.0024,0.6863,0.0034,0.0034,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000
0.1436,0.0066,0.0090,0.0054,0.0034,0.0007,0.7458,0.0035,0.0000,0.0223,0.0000,0.0000,0.0019,0.0000,0.0000
0.1433,0.0128,0.0096,0.0076,0.0046,0.0006,0.7376,0.0032,0.0000,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000
0.2016,0.0144,0.0137,0.0098,0.0166,0.0030,0.6510,0.0015,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000
0.0289,0.0192,0.0179,0.0118,0.0031,0.0000,0.8634,0.0044,0.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000
0.2287,0.0097,0.0058,0.0041,0.0183,0.0028,0.5912,0.0004,0.0000,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000
0.0564,0.0142,0.0114,0.0153,0.0081,0.0022,0.8363,0.0037,0.0043,0.0215,0.0000,0.0000,0.0027,0.0000,0.0000
0.0472,0.0109,0.0102,0.0096,0.0061,0.0017,0.8650,0.0020,0.0022,0.0190,0.0000,0.0000,0.0018,0.0000,0.0000
0.0512,0.0158,0.0172,0.0241,0.0156,0.0037,0.8091,0.0026,0.0038,0.0200,0.0000,0.0000,0.0070,0.0000,0.0000
0.0404,0.0121,0.0135,0.0146,0.0150,0.0037,0.8214,0.0021,0.0000,0.0350,0.0000,0.0000,0.0062,0.0000,0.0000
0.0809,0.0045,0.0047,0.0022,0.0042,0.0010,0.8529,0.0012,0.0000,0.0231,0.0000,0.0000,0.0016,0.0000,0.0000
0.1206,0.0076,0.0088,0.0046,0.0235,0.0028,0.7506,0.0000,0.0000,0.0257,0.0000,0.0000,0.0062,0.0000,0.0000
0.1547,0.0048,0.0063,0.0027,0.0192,0.0022,0.7179,0.0000,0.0000,0.0334,0.0000,0.0000,0.0025,0.0000,0.0000
0.0562,0.0109,0.0105,0.0056,0.0145,0.0017,0.8393,0.0026,0.0000,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000
0.1502,0.0068,0.0092,0.0049,0.0165,0.0031,0.7412,0.0016,0.0000,0.0206,0.0000,0.0000,0.0015,0.0000,0.0000


0.1123,0.0051,0.0044,0.0022,0.0068,0.0009,0.7976,0.0020,0.0000,0.0243,0.0000,0.0000,0.0022,0.0000,0.0000


0.2008,0.0058,0.0044,0.0030,0.0143,0.0044,0.6605,0.0000,0.0000,0.0419,0.0000,0.0000,0.0000,0.0000,0.0000

0.1225,0.1197,0.1590,0.0815,0.0019,0.0007,0.4582,0.0105,0.0066,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000
0.1677,0.0125,0.0149,0.0072,0.0193,0.0042,0.6673,0.0023,0.0014,0.0300,0.0000,0.0000,0.0052,0.0000,0.0000
